ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
79057,S. Messina,M,NA,NA,NA,"Marinai della nave da guerra ""Varese""",ITA,1906 Summer,1906,Summer,"Athens,GR",Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze
79060,Magali Di Marco Messmer (Chopard-),F,29,166,53,Switzerland,SUI,2000 Summer,2000,Summer,Sydney,Triathlon,Triathlon Women's Olympic Distance,Bronze
79063,"Heinrich ""Heini"" Messner",M,28,176,75,Austria,AUT,1968 Winter,1968,Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze
79063,"Heinrich ""Heini"" Messner",M,32,176,75,Austria,AUT,1972 Winter,1972,Winter,Sapporo,Alpine Skiing,Alpine Skiing Men's Downhill,Bronze
79067,Istvn Messzi,M,27,175,82,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
401,Team Spain,M,NA,NA,NA,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Gold
79082,Erika Mszros,F,22,176,66,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
79082,Erika Mszros,F,26,176,66,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
79083,Ervin Mszros,M,35,NA,NA,Hungary,HUN,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's Sabre, Individual",Bronze
79083,Ervin Mszros,M,35,NA,NA,Hungary,HUN,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's Sabre, Team",Gold
79085,Gabriella Mszros,F,22,NA,NA,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Women's Team All-Around,Bronze
79086,Gyrgy Mszros,M,27,181,80,Hungary,HUN,1960 Summer,1960,Summer,Roma,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
79086,Gyrgy Mszros,M,27,181,80,Hungary,HUN,1960 Summer,1960,Summer,Roma,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres,Silver
79091,Mikls Meszna,M,27,181,78,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's Sabre, Team",Bronze
79098,Anastasios Metaxas,M,44,NA,NA,Greece,GRE,1906 Summer,1906,Summer,"Athens,GR",Shooting,"Shooting Men's Trap, Double Shot, 14 metres",Silver
79098,Anastasios Metaxas,M,46,NA,NA,Greece,GRE,1908 Summer,1908,Summer,London,Shooting,Shooting Men's Trap,Bronze
79101,"Harriet Morris ""Holly"" Metcalf",F,26,172,74,United States,USA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Eights,Gold
79106,Adrian Peter Metcalfe,M,22,188,87,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
79107,"John Patrick ""Jack"" Metcalfe",M,24,183,80,Australia,AUS,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Triple Jump,Bronze
79109,Ralph Harold Metcalfe,M,22,180,82,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,Silver
79109,Ralph Harold Metcalfe,M,22,180,82,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 200 metres,Bronze
